"subject" "activities" "variable" "average"
1 "lay" "tBodyAcc-mean()-X" 0.22473262954
1 "lay" "tBodyAcc-mean()-Y" -0.0401604057454
1 "lay" "tBodyAcc-mean()-Z" -0.10863524578
1 "lay" "tGravityAcc-mean()-X" -0.10226554678
1 "lay" "tGravityAcc-mean()-Y" 0.6612976991
1 "lay" "tGravityAcc-mean()-Z" 0.4345173474
1 "lay" "tBodyAccJerk-mean()-X" 0.0805589595
1 "lay" "tBodyAccJerk-mean()-Y" 0.0031783542948
1 "lay" "tBodyAccJerk-mean()-Z" 0.0085142980704
1 "lay" "tBodyGyro-mean()-X" -0.016326696414
1 "lay" "tBodyGyro-mean()-Y" -0.064759932908
1 "lay" "tBodyGyro-mean()-Z" 0.14894543026
1 "lay" "tBodyGyroJerk-mean()-X" -0.106328523172
1 "lay" "tBodyGyroJerk-mean()-Y" -0.04269930575
1 "lay" "tBodyGyroJerk-mean()-Z" -0.07535871504
1 "lay" "tBodyAccMag-mean()" -0.8476677215
1 "lay" "tGravityAccMag-mean()" -0.8476677215
1 "lay" "tBodyAccJerkMag-mean()" -0.9547721004
1 "lay" "tBodyGyroMag-mean()" -0.8774899686
1 "lay" "tBodyGyroJerkMag-mean()" -0.9636840322
1 "lay" "fBodyAcc-mean()-X" -0.9401277844
1 "lay" "fBodyAcc-mean()-Y" -0.86769036818
1 "lay" "fBodyAcc-mean()-Z" -0.887302968
1 "lay" "fBodyAccJerk-mean()-X" -0.9572874848
1 "lay" "fBodyAccJerk-mean()-Y" -0.9225188312
1 "lay" "fBodyAccJerk-mean()-Z" -0.9484950666
1 "lay" "fBodyGyro-mean()-X" -0.852409173986
1 "lay" "fBodyGyro-mean()-Y" -0.9514503862
1 "lay" "fBodyGyro-mean()-Z" -0.9099466464
1 "lay" "fBodyAccMag-mean()" -0.8661677639
1 "lay" "fBodyBodyAccJerkMag-mean()" -0.9335908982
1 "lay" "fBodyBodyGyroMag-mean()" -0.8624733562
1 "lay" "fBodyBodyGyroJerkMag-mean()" -0.942560279
1 "lay" "tBodyAcc-std()-X" -0.9297990212
1 "lay" "tBodyAcc-std()-Y" -0.83800256042
1 "lay" "tBodyAcc-std()-Z" -0.835883094428
1 "lay" "tGravityAcc-std()-X" -0.9005237712
1 "lay" "tGravityAcc-std()-Y" -0.90944872516
1 "lay" "tGravityAcc-std()-Z" -0.86292639982
1 "lay" "tBodyAccJerk-std()-X" -0.9587124572
1 "lay" "tBodyAccJerk-std()-Y" -0.9241675452
1 "lay" "tBodyAccJerk-std()-Z" -0.9553408236
1 "lay" "tBodyGyro-std()-X" -0.87626035362
1 "lay" "tBodyGyro-std()-Y" -0.9506445694
1 "lay" "tBodyGyro-std()-Z" -0.9092971222
1 "lay" "tBodyGyroJerk-std()-X" -0.919308374
1 "lay" "tBodyGyroJerk-std()-Y" -0.967741966
1 "lay" "tBodyGyroJerk-std()-Z" -0.9580899078
1 "lay" "tBodyAccMag-std()" -0.80370197966
1 "lay" "tGravityAccMag-std()" -0.80370197966
1 "lay" "tBodyAccJerkMag-std()" -0.9284620394
1 "lay" "tBodyGyroMag-std()" -0.82068501416
1 "lay" "tBodyGyroJerkMag-std()" -0.935980962
1 "lay" "fBodyAcc-std()-X" -0.9264321758
1 "lay" "fBodyAcc-std()-Y" -0.8348977923
1 "lay" "fBodyAcc-std()-Z" -0.82405407844
1 "lay" "fBodyAccJerk-std()-X" -0.964390937
1 "lay" "fBodyAccJerk-std()-Y" -0.9321824694
1 "lay" "fBodyAccJerk-std()-Z" -0.96114697
1 "lay" "fBodyGyro-std()-X" -0.8850989874
1 "lay" "fBodyGyro-std()-Y" -0.9509920848
1 "lay" "fBodyGyro-std()-Z" -0.9175983776
1 "lay" "fBodyAccMag-std()" -0.8070423624
1 "lay" "fBodyBodyAccJerkMag-std()" -0.9219100382
1 "lay" "fBodyBodyGyroMag-std()" -0.82651385968
1 "lay" "fBodyBodyGyroJerkMag-std()" -0.9327139276
1 "sit" "tBodyAcc-mean()-X" 0.261487348617021
1 "sit" "tBodyAcc-mean()-Y" -0.00127725401340426
1 "sit" "tBodyAcc-mean()-Z" -0.104320164170213
1 "sit" "tGravityAcc-mean()-X" 0.799829959893617
1 "sit" "tGravityAcc-mean()-Y" 0.187963668212766
1 "sit" "tGravityAcc-mean()-Z" 0.312204378746809
1 "sit" "tBodyAccJerk-mean()-X" 0.0776789003829787
1 "sit" "tBodyAccJerk-mean()-Y" -0.000946565091489362
1 "sit" "tBodyAccJerk-mean()-Z" -0.00380949357446809
1 "sit" "tBodyGyro-mean()-X" -0.0453011096829787
1 "sit" "tBodyGyro-mean()-Y" -0.0916491290851064
1 "sit" "tBodyGyro-mean()-Z" 0.0633594415106383
1 "sit" "tBodyGyroJerk-mean()-X" -0.0935333548723404
1 "sit" "tBodyGyroJerk-mean()-Y" -0.0389681015957447
1 "sit" "tBodyGyroJerk-mean()-Z" -0.0457929342765957
1 "sit" "tBodyAccMag-mean()" -0.949052191914894
1 "sit" "tGravityAccMag-mean()" -0.949052191914894
1 "sit" "tBodyAccJerkMag-mean()" -0.98732048
1 "sit" "tBodyGyroMag-mean()" -0.930927281489362
1 "sit" "tBodyGyroJerkMag-mean()" -0.992013564893617
1 "sit" "fBodyAcc-mean()-X" -0.979944339787234
1 "sit" "fBodyAcc-mean()-Y" -0.944520581702128
1 "sit" "fBodyAcc-mean()-Z" -0.959071475319149
1 "sit" "fBodyAccJerk-mean()-X" -0.986931058723404
1 "sit" "fBodyAccJerk-mean()-Y" -0.98139181
1 "sit" "fBodyAccJerk-mean()-Z" -0.985915264255319
1 "sit" "fBodyGyro-mean()-X" -0.976011772553191
1 "sit" "fBodyGyro-mean()-Y" -0.976697905106383
